x,y,y_ls,uy_ls,y_gls,uy_gls,y_gp_hom,uy_gp_hom,y_gp_het,uy_gp_het
-5.0,-3.24883482982699,-3.25303699908528,0.0018272705120665,-3.25712767874333,0.0099718926931734,-3.256707657403343,1.0000000413701846e-05,-3.2519160165624434,0.009055880364834843
-4.98998998998999,-3.22469834302338,-3.23168955496278,0.0013217722595149,-3.23423030105264,0.0109238391325002,-3.2620602928598665,0.02187021129039675,-3.230339945515496,0.008545881618273236
-4.97997997997998,-3.20046410210972,-3.20990577651893,0.001011684126252,-3.21123041723643,0.0118915265408573,-3.2510304308831492,0.03276420075823047,-3.2086026311612024,0.008147625325075954
-4.96996996996997,-3.17613637597997,-3.18772938219729,0.0009704798259169,-3.1881334420237,0.0128685094754161,-3.227858107712672,0.03439660375521323,-3.186709277630989,0.007863000979427286
-4.95995995995996,-3.15171944487258,-3.16520248055811,0.0011449930396649,-3.16494474675817,0.013850472732807,-3.196783998093878,0.029052969317232065,-3.1646651148306795,0.007690190057948811
-4.94994994994995,-3.12721759963766,-3.14236545578194,0.001404742074279,-3.14166965727324,0.0148345333696304,-3.1616947696987685,0.019332184999439055,-3.1424753966935057,0.007623206745259018
-4.93993993993994,-3.10263514100248,-3.119256865437,0.001673894605657,-3.1183134527169,0.0158187848614881,-3.1258310468677055,0.007853663006406214,-3.1201453994332944,0.007652230414000815
-4.92992992992993,-3.07797637883533,-3.09591335095296,0.0019231233286628,-3.09488136415932,0.0168019952002413,-3.0915890015778715,0.0030328538511362954,-3.0976804197991754,0.00776466058724883
-4.91991991991992,-3.05324563140786,-3.07236956112978,0.0021423602398521,-3.07137857317004,0.0177834035136072,-3.060433843407329,0.011495619454690712,-3.0750857733321055,0.007946536816613078
-4.90990990990991,-3.02844722465619,-3.04865808895361,0.0023292132151169,-3.04781021087376,0.018762580584967,-3.032928184135488,0.016393570792707864,-3.0523667926242197,0.008183893595790349
-4.8998998998999,-3.00358549144068,-3.02480942186628,0.0024847007049663,-3.0241813565275,0.0197393314879427,-3.008862704146611,0.017348829056919715,-3.0295288255822825,0.00846376172868847
-4.88988988988989,-2.97866477080464,-3.00085190558399,0.0026115608003471,-3.00049703670078,0.0207136264810664,-2.987463139876896,0.014710352845688323,-3.006577233695225,0.008774736250160259
-4.87987987987988,-2.95368940723211,-2.97681172144823,0.0027134978114972,-2.97676222421598,0.0216855511956819,-2.9676384252004286,0.009415811738381711,-2.983517390307597,0.009107179000150602
-4.86986986986987,-2.92866374990469,-2.95271287721265,0.0027947949776449,-2.95298183732188,0.0226552702401938,-2.948231257072489,0.00277506543407247,-2.9603546788988453,0.009453178273646378
-4.85985985985986,-2.90359215195776,-2.92857721107129,0.0028600741023631,-2.92916073892309,0.0236230002921031,-2.9282348840213794,0.0037890614430081287,-2.937094491369571,0.009806378731963022
-4.84984984984985,-2.87847896973604,-2.90442440867487,0.0029141086711518,-2.90530373597382,0.02458899001813,-2.906947973993299,0.008999799903945123,-2.9137422263361117,0.010161761562027924
-4.83983983983984,-2.85332856204868,-2.88027203274358,0.0029616476951337,-2.88141557873129,0.025553504982051,-2.884051508729067,0.011943762462804352,-2.890303287433042,0.01051542196278687
-4.82982982982983,-2.82814528942399,-2.85613556487957,0.0030072325852541,-2.85750096022366,0.0265168162634936,-2.8596056083835,0.012210994595070478,-2.866783081625549,0.010864367124389084
-4.81981981981982,-2.80293351336407,-2.83202845902436,0.003055005844187,-2.83356451602318,0.027479191873316,-2.8339775672335032,0.009937396228614353,-2.843187017531644,0.01120634324704651
-4.80980980980981,-2.77769759559917,-2.80796220599419,0.0031085235122184,-2.80961082358932,0.0284408903030678,-2.807722900285264,0.0057455826744972,-2.8195205037553457,0.011539692343176713
-4.7997997997998,-2.7524418973422,-2.7839464084242,0.0031705927891595,-2.78564440232588,0.0294021557370217,-2.7814471623604815,0.0005987273426243827,-2.7957889472312125,0.011863235989407852
-4.78978978978979,-2.72717077854341,-2.75998886540048,0.0032431595121598,-2.76166971312511,0.0303632145585848,-2.755676888518715,0.004403281298369755,-2.771997751581651,0.012176181958833389
-4.77977977977978,-2.70188859714526,-2.73609566598897,0.003327265133724,-2.73769115837118,0.0313242728902931,-2.730763414022089,0.008243986435116108,-2.748152315486667,0.012478049590161534
-4.76976976976977,-2.67659970833783,-2.71227129083888,0.0034230804933301,-2.71371308180164,0.0322855149532303,-2.7068347109717346,0.010187483693989212,-2.7242580310677553,0.012768610176283833
-4.75975975975976,-2.65130846381466,-2.68851872096569,0.0035300084387995,-2.68973976874655,0.0332471020972772,-2.68379958120619,0.009912671208270383,-2.7003202822858547,0.013047839244951714
-4.74974974974975,-2.62601921102935,-2.66483955279643,0.003646835024689,-2.66577544592448,0.0342091723607724,-2.6613977551619503,0.007562211447416505,-2.676344443354367,0.013315878186879123
-4.73973973973974,-2.60073629245286,-2.64123411852926,0.0037719036002085,-2.64182428212831,0.0351718404756086,-2.639280746124151,0.0036981134504550464,-2.6523358771678502,0.01357300320712553
-4.72972972972973,-2.5754640448318,-2.61770161082104,0.0039032879719863,-2.61789038776655,0.0361351982172618,-2.6171032767116995,0.0008251517614177325,-2.628299933747165,0.013819600005212315
-4.71971971971972,-2.55020679844773,-2.59424021079907,0.0040389474633535,-2.59397781597598,0.0370993150545358,-2.5946045119572405,0.005042511115698716,-2.604241948701006,0.014056142939126976
-4.70970970970971,-2.52496887637764,-2.57084721841433,0.0041768546625132,-2.57009056239217,0.0380642390217407,-2.5716620621194535,0.008079134631415463,-2.580167241705521,0.01428317770291937
-4.6996996996997,-2.49975459375573,-2.54751918409399,0.0043150934036892,-2.5462325659459,0.0390299977828207,-2.5483087605401256,0.009327357726421475,-2.5560811150012555,0.01450130676398332
-4.68968968968969,-2.4745682570366,-2.52425204071483,0.0044519289628652,-2.52240770925901,0.0399965998390191,-2.524710953628278,0.008566264661105938,-2.531988851909574,0.01471117697447757
-4.67967967967968,-2.44941416325997,-2.50104123489484,0.0045858546457061,-2.49861981926733,0.0409640358502315,-2.501115564150746,0.005999427133536269,-2.5078957153672654,0.014913468902209003
-4.66966966966967,-2.4242965993171,-2.47788185662947,0.0047156194937984,-2.47487266792241,0.0419322800382153,-2.4777797317145005,0.002204609872301036,-2.483806946481419,0.015108887529300646
