x,y,uy,y_ls,uy_ls,y_gls,uy_gls
-5,-3.25670765786458,0.01,-3.25722294361089,0.00163669873169508,-3.25712767874333,0.00997189269317346
-4.93288590604027,-3.10142741007994,0.0166442953020134,-3.09962996241292,0.00179960414965676,-3.10180849544428,0.0165118119014172
-4.86577181208054,-2.9401640091448,0.0232885906040268,-2.93932936560492,0.00201121492565846,-2.94323422311582,0.0230516819014015
-4.7986577181208,-2.77847296539908,0.0299328859060403,-2.78028650530198,0.00175687713897537,-2.78290936979211,0.0295118131299404
-4.73154362416107,-2.62113984977328,0.0365771812080537,-2.62352596443601,0.00271138708901652,-2.62222593802046,0.0359605754609551
-4.66442953020134,-2.46573725049507,0.0432214765100671,-2.4682835320211,0.00380563528415767,-2.46245876755587,0.0424394552828424
-4.59731543624161,-2.31795527797009,0.0498657718120805,-2.31335548793131,0.00455327368032054,-2.30476780870675,0.0489495418670875
-4.53020134228188,-2.15531529231965,0.056510067114094,-2.1582405935296,0.00519455305332501,-2.15020629570208,0.0554665376247904
-4.46308724832215,-2.01463963866996,0.0631543624161074,-2.00377121713016,0.00595052841696775,-1.99973345882769,0.0619592990360549
-4.39597315436242,-1.85022404643761,0.0697986577181208,-1.85211685486299,0.00673348693634233,-1.85423017648754,0.0684040342134478
-4.32885906040268,-1.69886108223508,0.0764429530201342,-1.70625244392529,0.00738967584207608,-1.71451584259296,0.0747918507202813
-4.26174496644295,-1.56745865593804,0.0830872483221476,-1.5691457835997,0.00793461231682866,-1.58136472349636,0.0811299147930426
-4.19463087248322,-1.44349560712894,0.0897315436241611,-1.44298214533452,0.00849179484013575,-1.4555201904176,0.0874377620564742
-4.12751677852349,-1.32887496796307,0.0963758389261745,-1.32869531549544,0.00910983226872028,-1.33770543982142,0.0937408800102575
-4.06040268456376,-1.22264465026415,0.103020134228188,-1.22593903995971,0.00972381345303999,-1.22862963228859,0.100063769643898
-3.99328859060403,-1.1436611321486,0.109664429530201,-1.13346656090066,0.0102755833184013,-1.1289887674999,0.106424350987633
-3.9261744966443,-1.0527204936617,0.116308724832215,-1.04975099712174,0.0107912174426954,-1.03946104562503,0.11283089018538
-3.85906040268456,-0.960075326089518,0.122953020134228,-0.97362070179757,0.0113281113963765,-0.960696906775015,0.119281770702322
-3.79194630872483,-0.911236714995776,0.129597315436242,-0.904712777764615,0.0118928778728501,-0.893304364462379,0.125767643163288
-3.7248322147651,-0.852523042180338,0.136241610738255,-0.843640647381689,0.0124455153823567,-0.837830623965411,0.132274967300761
-3.65771812080537,-0.785238786797943,0.142885906040268,-0.791881809012421,0.0129645840582534,-0.79474127583699,0.138789796325358
-3.59060402684564,-0.726733501105271,0.149530201342282,-0.751473203911755,0.0134723207838032,-0.764398562003245,0.145300817249152
-3.52348993288591,-0.75401846358433,0.156174496644295,-0.724627691896039,0.0139958260111397,-0.74704030813296,0.151801037461468
-3.45637583892617,-0.724370632846729,0.162818791946309,-0.713359704379905,0.0145300876028775,-0.74276110109669,0.158287960347139
-3.38926174496644,-0.689868775781366,0.169463087248322,-0.719159685830847,0.0150521521163905,-0.751497162870644,0.164762499572594
-3.32214765100671,-0.740425291005533,0.176107382550336,-0.742721318770978,0.015556264968271,-0.773016144779726,0.171227157993061
-3.25503355704698,-0.785830086185651,0.182751677852349,-0.783725360312333,0.0160581683515279,-0.8069127542644,0.177684100929597
-3.18791946308725,-0.8661075577842,0.189395973154362,-0.840715380340643,0.0165695070377474,-0.85261075325895,0.18413368591543
-3.12080536912752,-0.907818303963238,0.196040268456376,-0.911135179693418,0.0170831867075074,-0.909371459535736,0.190573811537817
-3.05369127516779,-1.00599049746431,0.202684563758389,-0.991598212223562,0.0175871720352091,-0.976308467581781,0.197000183280262
-2.98657718120805,-1.04954918782691,0.209328859060403,-1.07840381660881,0.0180819516681315,-1.05240791179093,0.203407339304688
-2.91946308724832,-1.135890699941,0.215973154362416,-1.16821380079618,0.0185772783096455,-1.13655324879914,0.209790096912949
-2.85234899328859,-1.28378404755757,0.22261744966443,-1.25869985864535,0.0190770587449944,-1.22755325857887,0.216145006581707
-2.78523489932886,-1.37454403445285,0.229261744966443,-1.34892661248853,0.0195754099820788,-1.3241717737255,0.222471437989476
-2.71812080536913,-1.4121656977782,0.235906040268456,-1.43929027080618,0.0200668429683326,-1.42515755281257,0.228772046600772
-2.6510067114094,-1.56978163860154,0.24255033557047,-1.53098839814487,0.0205536908233664,-1.52927272209631,0.235052538761767
-2.58389261744966,-1.58944574008867,0.249194630872483,-1.62519761582325,0.0210412995207648,-1.63531831669378,0.241320822461768
-2.51677852348993,-1.71032313214096,0.255838926174497,-1.72229221230915,0.0215301666941807,-1.74215564923373,0.247585761093473
-2.4496644295302,-1.88521832090577,0.26248322147651,-1.82146058503086,0.0220163746821172,-1.84872250657628,0.253855813809116
-2.38255033557047,-1.90572657312021,0.269127516778523,-1.92093113098522,0.0224979152757499,-1.95404350447071,0.260137840972116
-2.31543624161074,-1.95673066393621,0.275771812080537,-2.01874631274041,0.0229770117808282,-2.0572342947519,0.266436286500771
-2.24832214765101,-2.13553133935898,0.28241610738255,-2.11373681107796,0.0234561710411809,-2.15749969658513,0.272752843540053
-2.18120805369128,-2.17978602011796,0.289060402684564,-2.20618792796165,0.0239347279925816,-2.25412618925259,0.279086595232805
-2.11409395973154,-2.33394827441604,0.295704697986577,-2.29775985997382,0.0244104772922095,-2.34646953761682,0.28543452619574
-2.04697986577181,-2.39312850645947,0.302348993288591,-2.39052770518086,0.0248830337948708,-2.43393860364346,0.291792242132444
-1.97986577181208,-2.51206247252885,0.308993288590604,-2.48543624395075,0.0253539581744315,-2.51597661310579,0.298154722277876
-1.91275167785235,-2.63437963395811,0.315637583892617,-2.58082871784301,0.0258242038843586,-2.59204128490647,0.304516957443977
-1.84563758389262,-2.62283641617567,0.322281879194631,-2.67181819682774,0.0262929646450609,-2.66158528537446,0.310874381849641
-1.77852348993289,-2.68766411433371,0.328926174496644,-2.75102710524249,0.0267591724100326,-2.72403844028982,0.317223072124383
-1.71140939597315,-2.73230270499803,0.335570469798658,-2.81068063238181,0.0272230019422889,-2.77879302684368,0.323559745216919
